model,seed,alpha,shield,kappa,v_scale,mean_drift,baseline_nll,n_prompts,elapsed_s,bank_col_sum_p99,bank_col_sum_p50,bank_col_sum_mean,attn_entropy_bank_mean,attn_entropy_native_mean,m_perp_energy_ratio_mean,residual_norm_p50,residual_norm_p99
Qwen/Qwen2.5-0.5B,0,0.5,True,4.0,True,2.4597367366154987,3.1918787558873496,30,23.45,660.5620336914075,14.727658748626709,60.11896514892578,1.7613155841827393,2.672563076019287,0.0,15.244737148284912,100.70956230163581
Qwen/Qwen2.5-0.5B,0,1.0,False,1.0,False,7.475404747327169,3.1918787558873496,30,23.31,779.7775256347659,10.446675777435303,65.53343963623047,1.5845791101455688,2.538259506225586,0.0,21.64963722229004,84.32194213867193
Qwen/Qwen2.5-0.5B,0,1.0,True,1.0,False,2.4484028418858848,3.1918787558873496,30,23.26,656.7504071044924,14.734939098358154,59.99089813232422,1.7633389234542847,2.681595802307129,0.0,15.245835304260254,100.5954517364502
Qwen/Qwen2.5-0.5B,0,1.0,True,2.0,False,2.4478567679723104,3.1918787558873496,30,23.43,658.7749865722667,14.651905536651611,59.80048751831055,1.7633699178695679,2.6724445819854736,0.0,15.200838565826416,100.56946144104009
Qwen/Qwen2.5-0.5B,0,1.0,True,4.0,False,2.524363160133362,3.1918787558873496,30,23.35,664.9880389404299,14.35185718536377,59.62995147705078,1.756705403327942,2.670473575592041,0.0,15.08614444732666,100.42107124328615
Qwen/Qwen2.5-0.5B,0,1.0,False,1.0,True,4.373783628145854,3.1918787558873496,30,23.35,744.950750732422,11.410505771636963,61.43498229980469,1.651463270187378,2.621257781982422,0.0,15.328426837921143,92.16795425415052
Qwen/Qwen2.5-0.5B,0,1.0,True,1.0,True,2.464562106132507,3.1918787558873496,30,23.45,656.859207763672,14.735034942626953,60.126529693603516,1.7625713348388672,2.6755545139312744,0.0,15.267671585083008,100.6719310760498
Qwen/Qwen2.5-0.5B,0,1.0,True,2.0,True,2.458213194211324,3.1918787558873496,30,23.31,659.954450683594,14.711381912231445,60.07005310058594,1.7625410556793213,2.6751489639282227,0.0,15.254460334777832,100.51607513427736
Qwen/Qwen2.5-0.5B,0,1.0,True,4.0,True,2.4700383583704633,3.1918787558873496,30,23.24,664.3138732910157,14.609636783599854,59.99478530883789,1.7603271007537842,2.6736795902252197,0.0,15.207710266113281,100.57422943115256
Qwen/Qwen2.5-0.5B,0,2.0,False,1.0,False,8.98604765733083,3.1918787558873496,30,23.85,812.6152319335955,10.022359848022461,64.64266204833984,1.5599284172058105,2.734347105026245,0.0,41.479318618774414,102.4206333160401
